circuit,contraction_ns,contracted_exe_ns,normal_exe_ns
q05-010.qasm,198474,1066288,2103459
q05-020.qasm,797400,3613303,9337475
q05-030.qasm,1288093,6176639,12384274
q05-040.qasm,761326,5702936,8987200
q05-050.qasm,1296188,12989614,15623545
q05-060.qasm,1467419,19601524,17710058
q05-070.qasm,1693419,24900560,21821095
q05-080.qasm,1940488,26427921,25717218
q05-090.qasm,2589415,40648901,30505113
q05-100.qasm,2602118,34336875,28741677
q05-110.qasm,2551319,40429830,30381598
q05-120.qasm,4817940,55311252,36295451
q05-130.qasm,3104415,51448982,36120594
q05-140.qasm,3764452,60881428,39037175
q05-150.qasm,3491339,63985585,41724637
q05-160.qasm,4067471,67418766,42275616
q05-170.qasm,4422843,73252298,44679013
q05-180.qasm,4966491,96780842,51156153
q05-190.qasm,4680406,82922018,47328849
q05-200.qasm,8140840,103437710,52767431
q05-210.qasm,5222886,136108832,60203148
q05-220.qasm,5887741,144867506,61959145
q05-230.qasm,6241391,161869858,65796450
q05-240.qasm,6021097,166403319,66741063
q05-250.qasm,6645331,224880839,79603005
q05-260.qasm,6338876,193437618,76252267
q05-270.qasm,6983952,194269077,74988691
q05-280.qasm,7790177,221621880,76886005
q05-290.qasm,7702096,237344812,81326412
q05-300.qasm,8979938,320599939,93878240
q05-310.qasm,13580089,384517164,98255076
q05-320.qasm,8116764,344439551,93668167
q05-330.qasm,9302340,365854842,99831615
q05-340.qasm,10064942,349447514,94113724
q05-350.qasm,9462457,321503732,91842303
q05-360.qasm,9736628,383451392,102491699
q05-370.qasm,10275462,495651335,112784728
q05-380.qasm,10279165,430570017,104604573
q05-390.qasm,11558185,475934053,112673217
q05-400.qasm,11066684,518370705,117245102
q05-410.qasm,11355209,551395001,119728598
q05-420.qasm,12141849,602130943,124091032
q05-430.qasm,12312211,679840674,134648785
q05-440.qasm,12305628,623863148,128576426
q05-450.qasm,12324628,663422023,132172307
q05-460.qasm,12110734,648996330,131328008
q05-470.qasm,12928446,718386669,136889800
q05-480.qasm,12965094,628489041,130409148
q05-490.qasm,13621112,794178788,143686637
q05-500.qasm,13736348,844565289,146228309
q06-010.qasm,601268,6122523,36046053
q06-020.qasm,561091,10632419,49545947
q06-030.qasm,1141229,26681023,106466139
q06-040.qasm,1420317,32603754,127268117
q06-050.qasm,1336312,31866756,117960906
q06-060.qasm,1975275,47552585,169650975
q06-070.qasm,2349222,54120811,205698443
q06-080.qasm,4293752,77050133,220794639
q06-090.qasm,2881319,72567095,229243845
q06-100.qasm,3171917,87199784,273476389
q06-110.qasm,4683650,132460690,362952766
q06-120.qasm,4077750,131402311,333255794
q06-130.qasm,4748506,139558149,371082223
q06-140.qasm,5466473,169188637,428871680
q06-150.qasm,5720303,181246225,445068846
q06-160.qasm,5879423,208309994,440755095
q06-170.qasm,5743119,230405215,458327173
q06-180.qasm,5968538,203892568,485334134
q06-190.qasm,6625028,289891318,549745262
q06-200.qasm,6832384,306272802,543669382
q06-210.qasm,8766225,344479444,595174177
q06-220.qasm,12699428,358577529,615929016
q06-230.qasm,8297994,347112803,613110362
q06-240.qasm,8419709,409936364,697582385
q06-250.qasm,8547554,433678031,668917020
q06-260.qasm,9664693,437670979,675653089
q06-270.qasm,10024743,520111360,724378415
q06-280.qasm,17573241,611213959,803185626
q06-290.qasm,10460850,568557926,779372582
q06-300.qasm,18670059,654904548,841268550
q06-310.qasm,12551318,789792299,935472192
q06-320.qasm,11352506,606660602,844445027
q06-330.qasm,12295818,711087890,901905746
q06-340.qasm,12622567,864547684,935860138
q06-350.qasm,13485413,854731829,949049233
q06-360.qasm,14245924,1034798882,1046269454
q06-370.qasm,13444783,866956346,981149785
q06-380.qasm,13239764,988557381,1055348714
q06-390.qasm,15057288,1103372010,1072951764
q06-400.qasm,14929467,1105088021,1080040491
q06-410.qasm,16399098,1268456189,1188136783
q06-420.qasm,14990024,1159810154,1128335591
q06-430.qasm,16440712,1319425555,1188312394
q06-440.qasm,16559697,1356275294,1194598719
q06-450.qasm,27834266,1532756167,1272076488
q06-460.qasm,16758641,1460876192,1203730678
q06-470.qasm,18490529,1832479116,1371342288
q06-480.qasm,17774610,1728681764,1337316505
q06-490.qasm,18930557,1914878476,1386461910
q06-500.qasm,19196271,1840689196,1435408956
q07-010.qasm,440858,36615623,325539633
q07-020.qasm,1069263,76732650,422715492
q07-030.qasm,1371377,102998060,945927990
q07-040.qasm,1731162,121520808,1116877073
q07-050.qasm,2139258,206196711,1315533709
q07-060.qasm,2458411,197258117,1454227102
q07-070.qasm,2958213,257779400,1796070089
q07-080.qasm,2855010,225040135,1679886143
q07-090.qasm,4010514,368451450,2375811941
q07-100.qasm,4386967,477564621,2645851377
q07-110.qasm,4887814,490683291,2784004046
q07-120.qasm,5281684,493885184,3319758855
q07-130.qasm,5508455,560959053,3464014234
q07-140.qasm,6114594,658225461,3483947706
q07-150.qasm,6159897,755653308,3589966954
q07-160.qasm,7316830,932371234,4390200223
q07-170.qasm,13899724,929385785,4808794495
q07-180.qasm,9191993,804187878,5102119821
q07-190.qasm,8808498,889802644,4707975572
q07-200.qasm,9253558,1034491868,4831035581
