circuit,contraction_ns,contracted_exe_ns,normal_exe_ns
q05-010.qasm,714596,1040278,3113756
q05-050.qasm,5002618,19142585,29035983
q05-100.qasm,66223906,57147032,46760371
q05-500.qasm,57212610,1904918233,229760390
q06-010.qasm,1453677,8344138,75363763
q06-050.qasm,6463014,52163485,271787421
q06-100.qasm,11506522,144684345,462045942
q07-010.qasm,1587385,35946464,514573337
q07-050.qasm,8919027,1165290214,2940950268
q08-010.qasm,2619944,216453904,4820927401
q08-050.qasm,11026639,2397946238,20914835728
q09-010.qasm,2567304,1429928973,53013680612
q05-010.qasm,776776,2251393,5181334
q05-020.qasm,1210807,2767090,6907195
q05-030.qasm,1932390,5043133,11653215
q05-040.qasm,4205434,17185810,23465944
q05-050.qasm,4534482,19334204,25033824
q05-060.qasm,6117496,32666699,33385103
q05-070.qasm,5483968,23031726,29146458
q05-080.qasm,7627163,49323450,42472701
q05-090.qasm,8345775,70679137,51079512
q05-100.qasm,8957285,51270581,41148369
q05-200.qasm,16504542,202697127,84099368
q05-300.qasm,26464746,575685485,138577964
q05-400.qasm,42361771,1332157141,206941439
q05-500.qasm,49927308,1847737203,243114035
q06-010.qasm,1112743,5571599,52088705
q06-020.qasm,2283505,10544028,77047643
q06-030.qasm,2995757,16738311,125950129
q06-040.qasm,4462840,30134755,197386767
q06-050.qasm,7210470,52132099,276536531
q06-060.qasm,6908567,64407369,272468187
q06-070.qasm,8332941,71710049,334318102
q06-080.qasm,10033678,125166356,411800128
q06-090.qasm,12888218,228272388,519782869
q06-100.qasm,11932669,162447255,506048203
q06-200.qasm,22296175,679402783,894135182
q06-300.qasm,44018328,2907074070,1500865822
q06-400.qasm,51295495,4516861063,1890268032
q06-500.qasm,66361661,10321194380,2570417886
q07-010.qasm,1761008,36704584,631147707
q07-020.qasm,3348976,57532778,1046924487
q07-030.qasm,4595056,64968555,1301930649
q07-040.qasm,6472787,183214581,1780052568
q07-050.qasm,5900308,179770005,1801996356
q07-060.qasm,9151731,391764195,2540545672
q07-070.qasm,10611544,677495826,2918912943
q07-080.qasm,11106904,391489103,3142778602
q07-090.qasm,14659730,1215506528,4075679818
q07-100.qasm,14631337,1070170505,3789587535
q07-200.qasm,32755579,8292733870,9443099772
q07-300.qasm,52208735,16969866959,12929270691
q07-400.qasm,62711205,29586692729,18567361506
